"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Simple Grid-Based Localization Technique in Wireless Sensor Networks for Forest Fire Detection","T. N. Le; P. H. J. Chong; X. J. Li; W. Y. Leong","School of EEE, Nanyang Technological University, Singapore; School of EEE, Nanyang Technological University, Singapore; School of EEE, Nanyang Technological University, Singapore; Singapore Institute of Manufacturing Technology, Singapore",2010 Second International Conference on Communication Software and Networks,"25 Mar 2010","2010","","","93","98","This research aims to develop a new sensor-based localization technique which is exclusively used for forest fire detecting systems. Our algorithm addresses three key criteria of forest fire detecting systems deployed in nature, which are: low complexity, high efficiency and low power consumption, by the 2 features: estimating a grid-based output and adopting an event-triggering mechanism. The algorithm's low complexity and high efficiency is indicated by its average-case running time of O(Na) - where Na is the number of anchors. Despite of being simple, our proposed technique can achieve a good performance in terms of outputted region's area, such as: More than 60% of inputs can result in a small-enough region-based output for monitored fields with dimension up to 6 times of sensors' transmission range.","","978-1-4244-5727-4","10.1109/ICCSN.2010.108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5437625","Wireless Sensor Networks;Forest Fire Detection;Localization","Wireless sensor networks;Fires;Animals;Temperature sensors;Energy consumption;Broadcasting;Counting circuits;Monitoring;Hardware;Goniometers","","9","","8","IEEE","25 Mar 2010","","","IEEE","IEEE Conferences"
"Optimizing Sensor Node Placement for Forest Fire Prevention Using Clustering and Regression","M. Ikbel; M. Jeridi; T. Ezzedine","Communication Systems Research Laboratory SYSCOM - LR-99-ES21, University of Tunis El-Manar, National Engineering School of Tunis - ENIT, Tunis-Belvedere, Tunisia; Communication Systems Research Laboratory SYSCOM - LR-99-ES21, University of Tunis El-Manar, National Engineering School of Tunis - ENIT, Tunis-Belvedere, Tunisia; Communication Systems Research Laboratory SYSCOM - LR-99-ES21, University of Tunis El-Manar, National Engineering School of Tunis - ENIT, Tunis-Belvedere, Tunisia",2023 22nd Mediterranean Microwave Symposium (MMS),"16 Feb 2024","2023","","","1","5","Forest fire monitoring and prevention are essential in forested areas, where the strategic deployment of sensor networks plays a pivotal role. This research study presents an innovative approach to optimize sensor node placement in forest fire prevention systems. The method utilizes the influence of meteorological conditions and incorporates both K-means clustering based on density and height analysis and linear regression employing 1/height. It harnesses unsupervised learning algorithms to proficiently cluster trees based on their density and height within specific geographical regions, considering meteorological factors such as temperature, humidity, and wind speed. These identified tree clusters play a significant role in strategically determining optimal sensor node placements, ensuring comprehensive coverage while minimizing the number of sensors required. This approach contributes to enhancing forest fire prevention and management by enabling swift detection and response to potential fire outbreaks, thereby mitigating damages and losses","2157-9830","979-8-3503-0847-1","10.1109/MMS59938.2023.10421462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10421462","Cluster;K-means;density;height;forest fire;fire spread;WSN;linear regression;sensor node placement;temperature;windspeed;humidity","Temperature sensors;Wind speed;Forestry;Vegetation;Resource management;Monitoring;Unsupervised learning","","","","22","IEEE","16 Feb 2024","","","IEEE","IEEE Conferences"
"Multi-AI Based Wireless Sensor Node for Forest Fire Detection","T. P. D. Pieris; A. L. Kulasekera; K. V. D. S. Chathuranga","Department of Mechanical Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Mechanical Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Mechanical Engineering, University of Moratuwa, Moratuwa, Sri Lanka",2022 7th International Conference on Information Technology Research (ICITR),"26 Dec 2022","2022","","","1","6","Forest fires are one of the major environmental issues in many countries around the world. There are many ways to detect these forest fires, such as optical camera-based systems, satellite-based systems, fire prediction systems, and wireless sensor nodes (WSN). They have major issues such as line-of-sight limitations in optical camera-based systems, low detection delay of satellite systems, and need more time to model the environments for fire prediction systems. The most suitable way of fire detection is the usage of wireless sensor network-based systems because they have low detection delay, more fire behavioral information, good stability, etc. In WSNs, there are many methods of fire detection such as thresholding data, fuzzy logic, neural networks, multi-AI, etc. Here, the proposed WSN-based system consists of multi-AI. The system was evaluated with test fires. The proposed system could successfully identify the created fires, and this system is simpler than existing systems.","2831-3399","979-8-3503-3203-2","10.1109/ICITR57877.2022.9992560","University of Moratuwa; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9992560","wireless sensor node;forest fire detection;artificial intelligence;multi-AI","Wireless communication;Temperature sensors;Wireless sensor networks;Temperature distribution;Neural networks;Training data;Forestry","","2","","14","IEEE","26 Dec 2022","","","IEEE","IEEE Conferences"
"Artificial neural network-based forest fire detection system using wireless sensor network","A. Chauhan; S. Semwal; R. Chawhan","Dept. of Instrumentation & Control Engineering, Graphic Era University, Dehradun, India; Dept. of Instrumentation & Control Engineering, Graphic Era University, Dehradun, India; Dept. of Electronic & Communication Engineering, Meerut Institute of Engineering & Technology Meerut, India",2013 Annual IEEE India Conference (INDICON),"30 Jan 2014","2013","","","1","6","In this paper, the problem of forest fire is considered and a comprehensive system is proposed with the use of wireless sensor network for real-time forest fire detection. The wireless sensor network can give more accurate detection of forest fire danger rate over traditional monitoring approaches like lookout towers and satellite based monitoring. This proposed framework mainly describes the data collection from designed data acquisition system and then its classification. The wireless transmission of sensor node data is done using BTBee module. Also artificial neural networks (ANN) approach, i.e. support vector machine (SVM) is applied for classification of collected data. Classification accuracy is evaluated and compared for various Kernel functions including multilayer perceptron (MLP), polynomial, quadratic and radial basis function (RBF).","2325-9418","978-1-4799-2275-8","10.1109/INDCON.2013.6725913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6725913","wireless sensor network;Arduino;Artificial neural network","Fires;Wireless sensor networks;Wireless communication;Support vector machines;Temperature measurement;Temperature sensors;Humidity","","10","","16","IEEE","30 Jan 2014","","","IEEE","IEEE Conferences"
"IoT Sensor and Deep Neural Network based Wildfire Prediction System","V. Zope; T. Dadlani; A. Matai; P. Tembhurnikar; R. Kalani","Department of Computer Engineering, Vivekanand Education Society Institute of Technology, Mumbai, India; Computer Engineering, Vivekanand Education Society Institute of Technology, Mumbai, India; Computer Engineering, Vivekanand Education Society Institute of Technology, Mumbai, India; Computer Engineering, Vivekanand Education Society Institute of Technology, Mumbai, India; Computer Engineering, Vivekanand Education Society Institute of Technology, Mumbai, India",2020 4th International Conference on Intelligent Computing and Control Systems (ICICCS),"19 Jun 2020","2020","","","205","208","Forests, one of the most valuable and necessary resources and protect earth's ecological balance, are a natural habitat to animals and forest products are vital in our lives in many direct and indirect ways. But wildfires can cause critical damage to grounds and many other resources like properties, human life, wildlife in superabundant amounts. Wildfires burn acres of land and destroy everything in their paths in mere minutes. Wildfire destroys homes, animals, trees and plants, wildlife as well as vegetation. The effects of wildfires are numerous and wide-ranging. it causes a hugely significant impact on the economy, environment, heritage and social fabric of rural areas. Naturally caused wildfires can be predicted using factors[3] like temperature, humidity, soil moisture, pressure and many more. In this paper, the prediction of forest fires by machine learning using some operational monitoring over a region and encountering changes in climate using different sensors are advocated. The Wildfire Prediction System (WiPreSy) monitors and records changes in climatic parameters and predicts the intensity of forest fire based on real-time data, thus avoiding the massive loss due to forest fires.","","978-1-7281-4876-2","10.1109/ICICCS48265.2020.9120949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9120949","Forest fire prediction;Temperature and humidity sensor DHT11;Soil moisture sensor YL-69;Pressure and Altitude Sensor BMP-280;GPS sensor;Wildfire prediction;Complete system for forest fire prediction;Bolt IoT and cloud","","","9","","12","IEEE","19 Jun 2020","","","IEEE","IEEE Conferences"
"The design of forest fire monitoring system based on wireless sensor network","Guangxue Yang; Zheng Liu","College of Electrical and Electronic Engineering, Harbin University of Science and Technology, Harbin, China; College of Electrical and Electronic Engineering, Harbin University of Science and Technology, Harbin, China",Proceedings of 2011 6th International Forum on Strategic Technology,"15 Sep 2011","2011","2","","1211","1214","According to the characteristics of forest fire, this paper design a forest fire monitoring system based on wireless sensor network. The system consists of ZigBee coordinator, routers, end nodes and PC computer. The ZigBee nodes compose wireless sensor network by ad-hoc network mode, and is mainly responsible for collecting and transporting the special environment parameters of the forest including temperature, humidity, and light intensity and so on. LabVIEW based on PC computer analyzes and displays the data that transported from ZigBee network, so as to achieve real-time remote monitoring of forest environment.","","978-1-4577-0399-7","10.1109/IFOST.2011.6021238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6021238","forest fire;wireless sensor network;ZigBee;LabVIEW","Monitoring;Computers;TV;Fires;Wireless sensor networks;Cryptography;Wireless communication","","1","","10","IEEE","15 Sep 2011","","","IEEE","IEEE Conferences"
"Forest fire monitoring, detection and decision making systems by wireless sensor network","Y. Liu; Y. Liu; H. Xu; K. L. Teo","School of Computer and Information Engineering, Central South University of Forestry and Technology, ChangSha, China; School of Computer and Information Engineering, Central South University of Forestry and Technology, ChangSha, China; Department of Mathematics and Statistics, Curtin University, Bentley, WA, Australia; Department of Mathematics and Statistics, Curtin University, Bentley, WA, Australia",2018 Chinese Control And Decision Conference (CCDC),"9 Jul 2018","2018","","","5482","5486","Wireless Sensor Networks (WSNs) can be used for many applications, such as industrial automatic control, remote environmental monitoring and target tracking. The similar system is promising applications in forest fires can make a real-time monitoring and detection. Wireless sensor network consists of numerous small nodes in most situations, which small nodes are deployed in remote and inaccessible hostile environments or over large geographical areas. The large number of small nodes sense environmental changes and report them to cluster head node over network architect, which the deployment and maintenance should be easy and scalable. A new approach for forest fire monitoring and detection was present in this paper, which it is by using data aggregation in wireless sensor network. The proposed approach can provide faster and efficiently reaction to forest fires while consuming economically WSN's energy, which has been validated and evaluated in extensive simulation experiments.","1948-9447","978-1-5386-1244-6","10.1109/CCDC.2018.8408086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8408086","Forest fire;wireless sensor network;data aggregation;decision making","Fires;Forestry;Wireless sensor networks;Sensors;Meteorology;Fuels;Indexes","","24","","12","IEEE","9 Jul 2018","","","IEEE","IEEE Conferences"
"Integrating Forest Fire Detection with Wireless Sensor Network Based on Long Range Radio","E. S. Sasmita; M. Rosmiati; M. F. Rizal","D3 Teknik Komputer, Universitas Telkom, Bandung, Indonesia; D3 Teknik Komputer, Universitas Telkom, Bandung, Indonesia; D3 Teknik Komputer, Universitas Telkom, Bandung, Indonesia","2018 International Conference on Control, Electronics, Renewable Energy and Communications (ICCEREC)","13 May 2019","2018","","","222","225","Forest fires are one of the most common disasters occurring during the dry season. Fires contain a variety of potential hazards for humans, property and the environment. To overcome the problem of forest fires is necessary supervision and early detection of fire. Flame Sensor Module that has been integrated in LoRa / GPS HAT can be an alternative to solve the problem of fire. Flame Sensor Module is a sensor component that can detect fire and LoRa / GPS HAT is a hardware media data transmission communications using radio frequency. By connecting every device on a network then can be created a prototype fire detector.","","978-1-7281-1993-9","10.1109/ICCEREC.2018.8711991","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8711991","Forest Fire;Wireless Sensor Network;Long Range Radio","Fires;Global Positioning System;Satellites;Monitoring;Forestry;Wireless sensor networks;Testing","","20","","9","IEEE","13 May 2019","","","IEEE","IEEE Conferences"
"A Guide Towards Implementing an Effective Forest Fire Detection System: Key Factors and Research Gaps","A. Salaria; A. Singh","School of Electronics and Electrical Engineering, Lovely Professional University, Jalandhar, India; School of Electronics and Electrical Engineering, Lovely Professional University, Jalandhar, India",2024 5th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),"11 Apr 2024","2024","","","212","217","Forest fires have been one of the major concerns in the world when addressing environmental issues. Dealing with these unfortunate incidents is not that easy because forests are complex terrains. Wireless sensor networks are free from huge infrastructures and hence are best suitable in such scenarios. However, deploying nodes for coverage and communications is a crucial task in such not-so-convenient areas. Therefore, several factors are to be considered while designing such systems, right from deciding the topology of the network, the parameters, environmental factors to the best simulation software which can be used to achieve the best results. This analysis highlights all these factors and presents the most dominant criteria that can be considered while designing such a forest fire detection system. This analysis of the optimal parameters and software tools and considerable research gaps would aid researchers in developing a design methodology for such kind of wireless sensor networks-based forest fire detection systems.","","979-8-3503-9523-5","10.1109/ICMCSI61536.2024.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494001","Wireless Sensor Networks;Forest Fire Monitoring;Parameters;Topology;Evaluation Parameters","Wireless communication;Wireless sensor networks;Systematics;Network topology;Forestry;Ad hoc networks;Topology","","","","18","IEEE","11 Apr 2024","","","IEEE","IEEE Conferences"
"A wireless sensor network for early forest fire detection and monitoring as a decision factor in the context of a complex integrated emergency response system","S. Abdullah; S. Bertalan; S. Masar; A. Coskun; I. Kale","Applied DSP and VLSI Research Group, University of Westminster, London, UK; Applied DSP and VLSI Research Group, University of Westminster, London, UK; Applied DSP and VLSI Research Group, University of Westminster, London, UK; Applied DSP and VLSI Research Group, University of Westminster, London, UK; Applied DSP and VLSI Research Group, University of Westminster, London, UK","2017 IEEE Workshop on Environmental, Energy, and Structural Monitoring Systems (EESMS)","2 Oct 2017","2017","","","1","5","Wildfires, often dubbed megafires, have in recent times increased in both frequency and scale, owing largely to human error as well as climate change. Due to their uncontrolled unpredictable rapid growth and behaviour, they can quickly become difficult to contain, leading to significant loss of lives, wildlife and property. It is therefore critical to tackle such fires in the early stages. This demands a reduction in the initial time to detection while ensuring reliability and a low false alarm rate. This paper discusses a new category of compact, easily deployable and energy efficient approach to sensor nodes for the continued monitoring of forest environments as well as the early detection of fires in their infancy based on a combination of sensory inputs. The sensor network reported in this paper was tested with other subsystems/technologies, in a real-life firefighting trial as part of a coordinated firefighting scenario with promising results.","","978-1-5386-2816-4","10.1109/EESMS.2017.8052688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8052688","Forest Fires;Wireless Sensor Network;Digital Signal Processing;Low Power","Wireless sensor networks;Temperature sensors;Batteries;Humidity;Servers;Monitoring;Temperature measurement;Climate change","","17","","5","IEEE","2 Oct 2017","","","IEEE","IEEE Conferences"
"Reliability analysis of Wireless Sensor Networks for forest fire detection","A. -A. Y. Al-Habashneh; M. H. Ahmed; T. Husain","Faculty of Engineering and Applied Science, Memorial University of Newfoundland, Saint John's Newfoundland, Canada; Department of Electrical and Computer Engineering, College of Engineering, University of Sharjah, Sharjah, UAE; Faculty of Engineering and Applied Science, Memorial University of Newfoundland, Saint John's Newfoundland, Canada",2011 7th International Wireless Communications and Mobile Computing Conference,"11 Aug 2011","2011","","","1630","1635","The transport reliability is a very important feature in Wireless Sensor Networks (WSN), particularly in some critical applications such as forest fire detection. In this paper, we propose reliability enhancement mechanisms in order to improve the reliability of three MAC protocols we proposed in for forest fire detection. We evaluate the reliability performance analytically and by simulation. Results show that a significant enhancement in the transport reliability is achieved due to the proposed mechanisms. Furthermore, we show that the reliability enhancement is achieved with a very slight increase in the energy consumption and packet delay.","2376-6506","978-1-4244-9538-2","10.1109/IWCMC.2011.5982779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5982779","MAC protocols;reliability;wireless sensor networks;forest fire detection","Reliability;Maintenance engineering;Routing protocols;Niobium;Wireless sensor networks;Computer network reliability","","6","","10","IEEE","11 Aug 2011","","","IEEE","IEEE Conferences"
"Robot-based forest fire detection and extinguishing model","H. Afzaal; N. A. Zafar","Department of Computer Science, COMSATS Institute of Information Technology, Sahiwal, Pakistan; Department of Computer Science, COMSATS Institute of Information Technology, Sahiwal, Pakistan",2016 2nd International Conference on Robotics and Artificial Intelligence (ICRAI),"22 Dec 2016","2016","","","112","117","Forests are important part of the ecosystem and play a significant role to preserve and maintain the environment. The main hazard is the forest fires because its consequences are terrible in nature. Therefore, there is a need to detect fire and extinguish before it spreads to destroy the resources. For this purpose, Forest Fire Detection and Extinguishing Algorithm (FFDEA) using Wireless Sensor and Actor Networks (WSANs) is proposed in this work to detect and extinguish fire. Temperature sensors are used to detect and actors to extinguish the fire. The actors are deployed randomly in the forests forming clusters. Clustering, sleep/active schedule and idle/working modes, is used to minimize consumption of energy. WSANs are modeled using graph theory for semi-formal representation of the model. Logical architecture of the system is presented which helped to develop algorithm and it is then transformed into an equivalent formal model using Vienna Development Method-Specification Language (VDM-SL). The model is analyzed through various existing techniques in VDM-SL Toolbox to prove its correctness.","","978-1-5090-4059-9","10.1109/ICRAI.2016.7791238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7791238","Forest fire detection;WSAN;Robots;Formal methods;Model analysis;Validation & verification","Robot sensing systems;Fires;Temperature sensors;Biological system modeling;Wireless sensor networks;Computational modeling","","17","","26","IEEE","22 Dec 2016","","","IEEE","IEEE Conferences"
"Model for Advanced Sensor Placement in Wildfire Detection Systems","V. P. Sooriarachchi; D. N. K. Jayakody","Lusofona University, COPELABS, Lisbon, Portugal; Lusofona University, COPELABS, Lisbon, Portugal",2024 IEEE Wireless Communications and Networking Conference (WCNC),"3 Jul 2024","2024","","","1","6","Wildfires are a common and dangerous natural phenomenon that harms more than just the natural vegetation. There have been many methods proposed to detect the occurrence of wildfires using randomly placed sensor nodes, yet the optimization of the placement of sensor nodes has not been discussed in studies. This study presents a wireless sensor network (WSN) model supported by an unmanned aerial vehicle (UAV) that focuses on determining optimal locations for sensor placement, optimal determination of cluster heads (CHs), and UAV trajectory to achieve maximum efficiency. The system further introduces the use of time-splitting based simultaneous wireless information and power transfer (SWIPT) to harvest energy for the CHs so as to improve energy efficiency and expand the concept of zero-energy devices within the WSN for wildfire detection.","1558-2612","979-8-3503-0358-2","10.1109/WCNC57260.2024.10570764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10570764","SWIPT;Wireless sensor network;Wild-fire detection systems","Wireless sensor networks;Sensor placement;Wildfires;Vegetation mapping;Autonomous aerial vehicles;Energy efficiency;Trajectory","","","","21","EU","3 Jul 2024","","","IEEE","IEEE Conferences"
"Forest fire detection system reliability test using wireless sensor network and OpenMTC communication platform","A. Herutomo; M. Abdurohman; N. A. Suwastika; S. Prabowo; C. W. Wijiutomo","School of Computing, Telkom University, Bandung, Indonesia; School of Computing, Telkom University, Bandung, Indonesia; School of Computing, Telkom University, Bandung, Indonesia; School of Computing, Telkom University, Bandung, Indonesia; School of Computing, Telkom University, Bandung, Indonesia",2015 3rd International Conference on Information and Communication Technology (ICoICT),"3 Sep 2015","2015","","","87","91","Machine to Machine (M2M) communication system has started gaining its real world momentum by the introduction of Internet and mobile technology into this system. Several works have come up to use this integrated system into many different vertical solutions and tried to bind one solution platform for many monolithic systems. One recent innovation is to use HTTP REST architecture as communication platform. This work tackles the first step of implementing OpenMTC as M2M and IoT communication platform. Involved sensors are carbon monoxide gas concentration, temperature, and humidity, combined with Zigbee and Arduino microcontroller to make up 2 Device Application components (or DAs, as proposed by ETSI M2M standard) connected to OpenMTC GSCL. Reliability tests were performed to measure sensor accuracy and system response in sensor-gateway communication. From the experiments in Kamojang Forest (West Java, Indonesia), we conclude that the system is sufficient to operate, considering 341 meters optimal range for sensor and gateway communication for the related area and 1250 ms average data transmission between sensor and gateway.","","978-1-4799-7752-9","10.1109/ICoICT.2015.7231402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7231402","Forest Fire Detection;Wireless Sensor Network;ZigBee;OpenMTC;Smart City;M2M","Fires;Temperature sensors;Propagation losses;Logic gates;Gas detectors;Temperature measurement","","25","","15","IEEE","3 Sep 2015","","","IEEE","IEEE Conferences"
